## Thu Aug  8 11:06:32 2024
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_gus_hlw4 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_gus_hlw4 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_gus_hlw4/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
NC_008553.1_subset_2	342949.PNA2_1646	2.6e-124	365.0	COG0731@1|root,arCOG00953@2157|Archaea,2XUIN@28890|Euryarchaeota,243IU@183968|Thermococci	183968|Thermococci	J	Elongator protein 3, MiaB family, Radical SAM	-	-	-	-	-	-	-	-	-	-	-	-	Radical_SAM
NC_008553.1_subset_4	592015.HMPREF1705_01640	2.32e-92	282.0	COG1149@1|root,COG1149@2|Bacteria,3TAT1@508458|Synergistetes	508458|Synergistetes	C	CobQ CobB MinD ParA nucleotide binding domain	-	-	-	-	-	-	-	-	-	-	-	-	CbiA,Fer4
NC_008553.1_subset_5	177439.DP0339	4.65e-93	283.0	COG1149@1|root,COG1149@2|Bacteria,1NCD9@1224|Proteobacteria,42PHV@68525|delta/epsilon subdivisions,2WKDZ@28221|Deltaproteobacteria,2MIUE@213118|Desulfobacterales	28221|Deltaproteobacteria	C	CobQ CobB MinD ParA nucleotide binding domain	-	-	-	-	-	-	-	-	-	-	-	-	CbiA,Fer4
NC_008553.1_subset_7	368407.Memar_2257	1.32e-135	401.0	COG0053@1|root,arCOG01475@2157|Archaea,2Y8CZ@28890|Euryarchaeota,2NAW1@224756|Methanomicrobia	224756|Methanomicrobia	P	TIGRFAM cation diffusion facilitator family transporter	-	-	-	-	-	-	-	-	-	-	-	-	Cation_efflux,Nitro_FeMo-Co,ZT_dimer
NC_008553.1_subset_8	192952.MM_1599	4.28e-54	182.0	COG0428@1|root,arCOG00576@2157|Archaea,2XUXE@28890|Euryarchaeota	28890|Euryarchaeota	P	divalent heavy-metal cations transporter	gufA	-	-	ko:K07238	-	-	-	-	ko00000,ko02000	2.A.5.5	-	-	Zip
NC_008553.1_subset_9	1041930.Mtc_0908	1.58e-280	781.0	COG4058@1|root,arCOG04857@2157|Archaea,2XTF8@28890|Euryarchaeota,2N90K@224756|Methanomicrobia	224756|Methanomicrobia	H	Reduction of methyl-coenzyme M (2-(methylthio) ethanesulfonic acid) with 7-mercaptoheptanoylthreonine phosphate to methane and a heterodisulfide	mcrA	-	2.8.4.1	ko:K00399	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_alpha,MCR_alpha_N
NC_008553.1_subset_10	192952.MM_1241	8.48e-114	333.0	COG4057@1|root,arCOG04858@2157|Archaea,2XSVR@28890|Euryarchaeota,2N92T@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase gamma subunit	mcrG	-	2.8.4.1	ko:K00402	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_gamma
NC_008553.1_subset_11	192952.MM_1243	3.53e-46	155.0	COG4055@1|root,arCOG04859@2157|Archaea,2XZ5V@28890|Euryarchaeota,2NBJT@224756|Methanomicrobia	224756|Methanomicrobia	H	Methyl-coenzyme M reductase operon protein D	mcrD	-	-	ko:K03422	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_D
NC_008553.1_subset_12	1094980.Mpsy_0832	1.95e-207	585.0	COG4054@1|root,arCOG04860@2157|Archaea,2XTPD@28890|Euryarchaeota,2N9BX@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase, beta subunit	mcrB	-	2.8.4.1	ko:K00401	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_beta,MCR_beta_N
NC_008553.1_subset_13	1094980.Mpsy_2087	3.24e-130	384.0	COG0535@1|root,arCOG00943@2157|Archaea,2Y2FM@28890|Euryarchaeota,2NAHZ@224756|Methanomicrobia	224756|Methanomicrobia	S	Elongator protein 3, MiaB family, Radical SAM	-	-	-	-	-	-	-	-	-	-	-	-	Radical_SAM,SPASM
NC_008553.1_subset_14	192952.MM_2656	3.51e-59	195.0	COG1047@1|root,arCOG00980@2157|Archaea,2XTB7@28890|Euryarchaeota,2N9PQ@224756|Methanomicrobia	224756|Methanomicrobia	O	PFAM peptidylprolyl isomerase FKBP-type	-	-	5.2.1.8	ko:K01802,ko:K03775	-	-	-	-	ko00000,ko01000,ko03110	-	-	-	FKBP_C
NC_008553.1_subset_15	269797.Mbar_A2672	1.45e-98	299.0	COG0037@1|root,arCOG00042@2157|Archaea,2XTEZ@28890|Euryarchaeota,2N92N@224756|Methanomicrobia	224756|Methanomicrobia	D	PFAM PP-loop domain protein	-	-	-	-	-	-	-	-	-	-	-	-	ATP_bind_3
NC_009464.1_subset_1	351160.RCIX2072	3.22e-233	649.0	COG4065@1|root,arCOG04866@2157|Archaea,2XVGV@28890|Euryarchaeota,2N9CU@224756|Methanomicrobia	224756|Methanomicrobia	S	Uncharacterized protein conserved in archaea (DUF2114)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2114
NC_009464.1_subset_2	351160.RCIX2071	8.65e-226	622.0	COG1962@1|root,arCOG04336@2157|Archaea,2XV9A@28890|Euryarchaeota,2N996@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Tetrahydromethanopterin S-methyltransferase MtrH subunit	mtrH	-	2.1.1.86	ko:K00584	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00357,M00567	R04347	RC00035,RC00113,RC02892	ko00000,ko00001,ko00002,ko01000	-	-	-	MtrH
NC_009464.1_subset_3	351160.RCIX2070	4.77e-38	127.0	COG4064@1|root,arCOG03380@2157|Archaea,2Y18S@28890|Euryarchaeota,2NA2X@224756|Methanomicrobia	224756|Methanomicrobia	H	Part of a complex that catalyzes the formation of methyl-coenzyme M and tetrahydromethanopterin from coenzyme M and methyl-tetrahydromethanopterin. This is an energy-conserving, sodium-ion translocating step	mtrG	-	2.1.1.86	ko:K00583	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00357,M00567	R04347	RC00035,RC00113,RC02892	ko00000,ko00001,ko00002,ko01000	-	-	-	MtrG
NC_009464.1_subset_4	351160.RCIX2069	3.4e-175	488.0	COG4063@1|root,arCOG03221@2157|Archaea,2XWSE@28890|Euryarchaeota,2N9GK@224756|Methanomicrobia	224756|Methanomicrobia	H	Part of a complex that catalyzes the formation of methyl-coenzyme M and tetrahydromethanopterin from coenzyme M and methyl-tetrahydromethanopterin. This is an energy-conserving, sodium-ion translocating step	mtrG	-	2.1.1.86	ko:K00577	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00357,M00567	R04347	RC00035,RC00113,RC02892	ko00000,ko00001,ko00002,ko01000	-	-	-	MtrA,MtrG
NC_009464.1_subset_5	351160.RCIX2068	5.02e-184	512.0	COG4063@1|root,arCOG03221@2157|Archaea,2XWSE@28890|Euryarchaeota,2N9GK@224756|Methanomicrobia	224756|Methanomicrobia	H	Part of a complex that catalyzes the formation of methyl-coenzyme M and tetrahydromethanopterin from coenzyme M and methyl-tetrahydromethanopterin. This is an energy-conserving, sodium-ion translocating step	mtrG	-	2.1.1.86	ko:K00577	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00357,M00567	R04347	RC00035,RC00113,RC02892	ko00000,ko00001,ko00002,ko01000	-	-	-	MtrA,MtrG
NC_009464.1_subset_6	351160.RCIX2067	1.32e-68	207.0	COG4062@1|root,arCOG04867@2157|Archaea,2Y0C7@28890|Euryarchaeota,2NA0I@224756|Methanomicrobia	224756|Methanomicrobia	H	Part of a complex that catalyzes the formation of methyl-coenzyme M and tetrahydromethanopterin from coenzyme M and methyl-tetrahydromethanopterin. This is an energy-conserving, sodium-ion translocating step	mtrB	-	2.1.1.86	ko:K00578	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00357,M00567	R04347	RC00035,RC00113,RC02892	ko00000,ko00001,ko00002,ko01000	-	-	-	MtrB
NC_009464.1_subset_7	351160.RCIX2066	5.05e-205	568.0	COG4061@1|root,arCOG04868@2157|Archaea,2XYI9@28890|Euryarchaeota,2N9JF@224756|Methanomicrobia	224756|Methanomicrobia	H	Part of a complex that catalyzes the formation of methyl-coenzyme M and tetrahydromethanopterin from coenzyme M and methyl-tetrahydromethanopterin. This is an energy-conserving, sodium-ion translocating step	mtrC	-	2.1.1.86	ko:K00579	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00357,M00567	R04347	RC00035,RC00113,RC02892	ko00000,ko00001,ko00002,ko01000	-	-	-	MtrC
NC_009464.1_subset_8	351160.RCIX2065	4.92e-169	474.0	COG4060@1|root,arCOG04869@2157|Archaea,2XWIA@28890|Euryarchaeota,2N9NI@224756|Methanomicrobia	224756|Methanomicrobia	H	Part of a complex that catalyzes the formation of methyl-coenzyme M and tetrahydromethanopterin from coenzyme M and methyl-tetrahydromethanopterin. This is an energy-conserving, sodium-ion translocating step	mtrD	-	2.1.1.86	ko:K00580	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00357,M00567	R04347	RC00035,RC00113,RC02892	ko00000,ko00001,ko00002,ko01000	-	-	-	MtrD
NC_009464.1_subset_9	351160.RCIX2064	1.03e-205	570.0	COG4059@1|root,arCOG04870@2157|Archaea,2XTGG@28890|Euryarchaeota,2N98Q@224756|Methanomicrobia	224756|Methanomicrobia	H	Part of a complex that catalyzes the formation of methyl-coenzyme M and tetrahydromethanopterin from coenzyme M and methyl-tetrahydromethanopterin. This is an energy-conserving, sodium-ion translocating step	mtrE	-	2.1.1.86	ko:K00581	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00357,M00567	R04347	RC00035,RC00113,RC02892	ko00000,ko00001,ko00002,ko01000	-	-	-	MtrE
NC_009464.1_subset_10	351160.RCIX2063	0.0	1114.0	COG4058@1|root,arCOG04857@2157|Archaea,2XTF8@28890|Euryarchaeota,2N90K@224756|Methanomicrobia	224756|Methanomicrobia	H	Reduction of methyl-coenzyme M (2-(methylthio) ethanesulfonic acid) with 7-mercaptoheptanoylthreonine phosphate to methane and a heterodisulfide	mcrA	-	2.8.4.1	ko:K00399	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_alpha,MCR_alpha_N
NC_009464.1_subset_11	351160.RCIX2062	9.83e-186	515.0	COG4057@1|root,arCOG04858@2157|Archaea,2XSVR@28890|Euryarchaeota,2N92T@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase gamma subunit	mcrG	-	2.8.4.1	ko:K00402	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_gamma
NC_009464.1_subset_12	351160.RCIX2061	1.2e-146	413.0	COG4056@1|root,arCOG03225@2157|Archaea,2XW32@28890|Euryarchaeota,2N9IH@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase operon protein C	mcrC	-	-	ko:K03421	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_C
NC_009464.1_subset_13	351160.RCIX2060	2.86e-118	338.0	COG4055@1|root,arCOG04859@2157|Archaea,2XZ5V@28890|Euryarchaeota,2NBJT@224756|Methanomicrobia	224756|Methanomicrobia	H	Methyl-coenzyme M reductase operon protein D	mcrD	-	-	ko:K03422	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_D
NC_009464.1_subset_14	351160.RCIX2059	9.38e-317	863.0	COG4054@1|root,arCOG04860@2157|Archaea,2XTPD@28890|Euryarchaeota,2N9BX@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase, beta subunit	mcrB	-	2.8.4.1	ko:K00401	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_beta,MCR_beta_N
NC_009464.1_subset_15	351160.RCIX2058	5.75e-286	781.0	COG0621@1|root,arCOG01358@2157|Archaea,2XSVB@28890|Euryarchaeota,2N9GQ@224756|Methanomicrobia	224756|Methanomicrobia	J	SMART Elongator protein 3 MiaB NifB	miaB	-	2.8.4.5	ko:K15865	-	-	R10649	RC00003,RC03221	ko00000,ko01000,ko03016	-	-	-	Radical_SAM,TRAM,UPF0004
NC_009464.1_subset_16	351160.RCIX2057	2.53e-206	570.0	COG1951@1|root,arCOG04407@2157|Archaea,2XUQI@28890|Euryarchaeota,2N9FT@224756|Methanomicrobia	224756|Methanomicrobia	C	Fe-S type, tartrate fumarate subfamily, alpha	fumA	-	4.2.1.2	ko:K01677	ko00020,ko00620,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00620,map00720,map01100,map01110,map01120,map01130,map01200	M00009,M00011,M00173,M00374,M00620	R01082	RC00443	ko00000,ko00001,ko00002,ko01000	-	-	-	Fumerase
NC_009464.1_subset_17	351160.RCIX2056	2.46e-139	393.0	COG1838@1|root,arCOG04406@2157|Archaea,2XXBQ@28890|Euryarchaeota,2N9RW@224756|Methanomicrobia	224756|Methanomicrobia	C	Fumarase C-terminus	fumB	-	4.2.1.2	ko:K01678	ko00020,ko00620,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00620,map00720,map01100,map01110,map01120,map01130,map01200	M00009,M00011,M00173,M00374,M00620	R01082	RC00443	ko00000,ko00001,ko00002,ko01000	-	-	-	Fumerase_C
NC_009464.1_subset_18	1041930.Mtc_0898	3.45e-25	94.0	arCOG04838@1|root,arCOG04838@2157|Archaea,2Y1E7@28890|Euryarchaeota	28890|Euryarchaeota	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NC_009464.1_subset_19	351160.RCIX2054	4.02e-16	73.2	arCOG03197@1|root,arCOG03197@2157|Archaea,2XZKC@28890|Euryarchaeota,2N9ZV@224756|Methanomicrobia	224756|Methanomicrobia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NC_015416.1_subset_1	1041930.Mtc_0919	1.94e-13	68.9	COG1342@1|root,arCOG02238@2157|Archaea,2Y002@28890|Euryarchaeota,2NB6Z@224756|Methanomicrobia	224756|Methanomicrobia	S	Belongs to the UPF0251 family	-	-	-	ko:K06933	-	-	-	-	ko00000	-	-	-	DUF134
NC_015416.1_subset_3	648996.Theam_1234	7.92e-99	299.0	COG0489@1|root,COG0489@2|Bacteria,2G3W5@200783|Aquificae	200783|Aquificae	D	Binds and transfers iron-sulfur (Fe-S) clusters to target apoproteins. Can hydrolyze ATP	mrp	-	-	ko:K03593	-	-	-	-	ko00000,ko03029,ko03036	-	-	-	ParA
NC_015416.1_subset_4	192952.MM_1730	2.59e-136	395.0	COG0675@1|root,arCOG00684@2157|Archaea,2XSWB@28890|Euryarchaeota,2NAE6@224756|Methanomicrobia	224756|Methanomicrobia	L	Probable transposase	-	-	-	ko:K07496	-	-	-	-	ko00000	-	-	-	HTH_OrfB_IS605,OrfB_IS605,OrfB_Zn_ribbon
NC_015416.1_subset_5	192952.MM_1729	2.55e-40	135.0	COG1943@1|root,arCOG02759@2157|Archaea,2Y0PZ@28890|Euryarchaeota,2N9YF@224756|Methanomicrobia	224756|Methanomicrobia	L	Transposase IS200 like	-	-	-	ko:K07491	-	-	-	-	ko00000	-	-	-	Y1_Tnp
NC_015416.1_subset_8	573064.Mefer_1125	1.49e-163	475.0	COG1032@1|root,arCOG01356@2157|Archaea,2XTB5@28890|Euryarchaeota,23Q8F@183939|Methanococci	183939|Methanococci	C	SMART Elongator protein 3 MiaB NifB	-	-	-	-	-	-	-	-	-	-	-	-	B12-binding,Radical_SAM
NC_015416.1_subset_9	1041930.Mtc_0908	2.36e-282	785.0	COG4058@1|root,arCOG04857@2157|Archaea,2XTF8@28890|Euryarchaeota,2N90K@224756|Methanomicrobia	224756|Methanomicrobia	H	Reduction of methyl-coenzyme M (2-(methylthio) ethanesulfonic acid) with 7-mercaptoheptanoylthreonine phosphate to methane and a heterodisulfide	mcrA	-	2.8.4.1	ko:K00399	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_alpha,MCR_alpha_N
NC_015416.1_subset_10	1094980.Mpsy_0829	2.28e-108	320.0	COG4057@1|root,arCOG04858@2157|Archaea,2XSVR@28890|Euryarchaeota,2N92T@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase gamma subunit	mcrG	-	2.8.4.1	ko:K00402	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_gamma
NC_015416.1_subset_11	192952.MM_1243	4.46e-41	142.0	COG4055@1|root,arCOG04859@2157|Archaea,2XZ5V@28890|Euryarchaeota,2NBJT@224756|Methanomicrobia	224756|Methanomicrobia	H	Methyl-coenzyme M reductase operon protein D	mcrD	-	-	ko:K03422	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_D
NC_015416.1_subset_12	192952.MM_1244	5.28e-205	579.0	COG4054@1|root,arCOG04860@2157|Archaea,2XTPD@28890|Euryarchaeota,2N9BX@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase, beta subunit	mcrB	-	2.8.4.1	ko:K00401	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_beta,MCR_beta_N
NC_015416.1_subset_13	192952.MM_3076	2.7e-297	840.0	COG0550@1|root,arCOG01527@2157|Archaea,arCOG06233@2157|Archaea,2XU6T@28890|Euryarchaeota,2N96B@224756|Methanomicrobia	224756|Methanomicrobia	L	Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone	topA	-	5.99.1.2	ko:K03168	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	HHH_5,Topoisom_bac,Toprim,zf-C4_Topoisom
NC_015416.1_subset_14	269797.Mbar_A1576	1.3e-128	379.0	COG1537@1|root,arCOG01741@2157|Archaea,2XTQ4@28890|Euryarchaeota,2N91R@224756|Methanomicrobia	224756|Methanomicrobia	J	May function in recognizing stalled ribosomes, interact with stem-loop structures in stalled mRNA molecules, and effect endonucleolytic cleavage of the mRNA. May play a role in the release non-functional ribosomes and degradation of damaged mRNAs. Has endoribonuclease activity	pelA	-	-	ko:K06965	ko03015,map03015	-	-	-	ko00000,ko00001	-	-	-	eRF1_1,eRF1_2,eRF1_3
NC_017527.1_subset_1	224325.AF_1595	6.59e-15	73.9	COG0037@1|root,arCOG00042@2157|Archaea,2XTEZ@28890|Euryarchaeota,245YR@183980|Archaeoglobi	183980|Archaeoglobi	D	PFAM PP-loop	-	-	-	-	-	-	-	-	-	-	-	-	ATP_bind_3
NC_017527.1_subset_2	1094980.Mpsy_1228	1.04e-117	351.0	COG1537@1|root,arCOG01741@2157|Archaea,2XTQ4@28890|Euryarchaeota,2N91R@224756|Methanomicrobia	224756|Methanomicrobia	J	May function in recognizing stalled ribosomes, interact with stem-loop structures in stalled mRNA molecules, and effect endonucleolytic cleavage of the mRNA. May play a role in the release non-functional ribosomes and degradation of damaged mRNAs. Has endoribonuclease activity	pelA	-	-	ko:K06965	ko03015,map03015	-	-	-	ko00000,ko00001	-	-	-	eRF1_1,eRF1_2,eRF1_3
NC_017527.1_subset_3	192952.MM_3076	2.35e-303	854.0	COG0550@1|root,arCOG01527@2157|Archaea,arCOG06233@2157|Archaea,2XU6T@28890|Euryarchaeota,2N96B@224756|Methanomicrobia	224756|Methanomicrobia	L	Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone	topA	-	5.99.1.2	ko:K03168	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	HHH_5,Topoisom_bac,Toprim,zf-C4_Topoisom
NC_017527.1_subset_4	192952.MM_1244	8.01e-214	602.0	COG4054@1|root,arCOG04860@2157|Archaea,2XTPD@28890|Euryarchaeota,2N9BX@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase, beta subunit	mcrB	-	2.8.4.1	ko:K00401	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_beta,MCR_beta_N
NC_017527.1_subset_5	192952.MM_1243	2.82e-41	143.0	COG4055@1|root,arCOG04859@2157|Archaea,2XZ5V@28890|Euryarchaeota,2NBJT@224756|Methanomicrobia	224756|Methanomicrobia	H	Methyl-coenzyme M reductase operon protein D	mcrD	-	-	ko:K03422	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_D
NC_017527.1_subset_6	1094980.Mpsy_0829	2.76e-119	347.0	COG4057@1|root,arCOG04858@2157|Archaea,2XSVR@28890|Euryarchaeota,2N92T@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase gamma subunit	mcrG	-	2.8.4.1	ko:K00402	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_gamma
NC_017527.1_subset_7	1041930.Mtc_0908	7.33e-272	759.0	COG4058@1|root,arCOG04857@2157|Archaea,2XTF8@28890|Euryarchaeota,2N90K@224756|Methanomicrobia	224756|Methanomicrobia	H	Reduction of methyl-coenzyme M (2-(methylthio) ethanesulfonic acid) with 7-mercaptoheptanoylthreonine phosphate to methane and a heterodisulfide	mcrA	-	2.8.4.1	ko:K00399	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_alpha,MCR_alpha_N
NC_017527.1_subset_9	404589.Anae109_3996	1.3e-42	149.0	COG0603@1|root,COG0603@2|Bacteria	2|Bacteria	F	Catalyzes the ATP-dependent conversion of 7-carboxy-7- deazaguanine (CDG) to 7-cyano-7-deazaguanine (preQ(0))	queC	-	6.3.4.20	ko:K06920	ko00790,ko01100,map00790,map01100	-	R09978	RC00959	ko00000,ko00001,ko01000,ko03016	-	-	-	QueC
NC_017527.1_subset_10	386456.JQKN01000003_gene356	4.85e-31	116.0	COG0394@1|root,arCOG04425@2157|Archaea,2XZ4R@28890|Euryarchaeota	28890|Euryarchaeota	T	PFAM low molecular weight phosphotyrosine protein phosphatase	-	-	1.20.4.1	ko:K03741	-	-	-	-	ko00000,ko01000	-	-	-	LMWPc
NC_017527.1_subset_11	368407.Memar_0391	1.84e-166	481.0	COG1032@1|root,arCOG01356@2157|Archaea,2XTB5@28890|Euryarchaeota	28890|Euryarchaeota	C	SMART Elongator protein 3 MiaB NifB	-	-	-	-	-	-	-	-	-	-	-	-	B12-binding,Radical_SAM
NC_017527.1_subset_12	351160.LRC180	5.97e-179	512.0	COG1625@1|root,arCOG00950@2157|Archaea,2XTIR@28890|Euryarchaeota,2N94K@224756|Methanomicrobia	224756|Methanomicrobia	C	Radical SAM domain protein	-	-	-	-	-	-	-	-	-	-	-	-	Radical_SAM
NC_017527.1_subset_13	269797.Mbar_A2700	7.33e-201	564.0	COG0641@1|root,arCOG00945@2157|Archaea,2XV96@28890|Euryarchaeota,2NABU@224756|Methanomicrobia	224756|Methanomicrobia	C	PFAM Radical SAM domain protein	-	-	-	ko:K06871	-	-	-	-	ko00000	-	-	-	Fer4_12,Radical_SAM,SPASM
NC_017527.1_subset_14	641524.ADICYQ_0785	7.96e-11	66.6	COG0530@1|root,COG0530@2|Bacteria,4NFBC@976|Bacteroidetes	976|Bacteroidetes	P	K -dependent Na Ca exchanger	yrbG	-	-	ko:K07301	-	-	-	-	ko00000,ko02000	2.A.19.5	-	-	Na_Ca_ex
NC_017034.1_subset_1	1041930.Mtc_0900	1.51e-155	439.0	COG1951@1|root,arCOG04407@2157|Archaea,2XUQI@28890|Euryarchaeota,2N9FT@224756|Methanomicrobia	224756|Methanomicrobia	C	Fe-S type, tartrate fumarate subfamily, alpha	fumA	-	4.2.1.2	ko:K01677	ko00020,ko00620,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00620,map00720,map01100,map01110,map01120,map01130,map01200	M00009,M00011,M00173,M00374,M00620	R01082	RC00443	ko00000,ko00001,ko00002,ko01000	-	-	-	Fumerase
NC_017034.1_subset_2	1041930.Mtc_0901	2.91e-233	644.0	COG0628@1|root,arCOG02642@2157|Archaea,2XXF0@28890|Euryarchaeota,2N9N3@224756|Methanomicrobia	224756|Methanomicrobia	S	Pfam:UPF0118	-	-	-	-	-	-	-	-	-	-	-	-	AI-2E_transport
NC_017034.1_subset_3	1041930.Mtc_0902	2.14e-299	816.0	COG0621@1|root,arCOG01358@2157|Archaea,2XSVB@28890|Euryarchaeota,2N9GQ@224756|Methanomicrobia	224756|Methanomicrobia	J	SMART Elongator protein 3 MiaB NifB	miaB	-	2.8.4.5	ko:K15865	-	-	R10649	RC00003,RC03221	ko00000,ko01000,ko03016	-	-	-	Radical_SAM,TRAM,UPF0004
